crumbs	demo site navbar	demo site dropdown	crumbs_id	availability	price	url	pid	title	title_de	description	description_de	brand	thumb_image	sale_price	manufacturer	catalog_number	master_upc	application	application-de	color	color-de	height	length	material	material-de	size	size-de	voltage_rating	weight	width	type	type-de
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	14.47	https://pacificsupply.bloomreach.com/products/1993845	1993845	B-Line N223ZN 5/16 PLTD Spring Nut	B-Line N223ZN 16.05 PLTD Federmutter	Eaton B-Line N223ZN 1/4 Inch 18 Thread Spring Nut	Eaton B-Line N223ZN 1/4 Zoll 18 Gewindefedermutter	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1993845	9.12	Eaton B-Line	N223ZN	78101140323	STRUT FITTINGS,BF-CHANNEL NUTS (BF)	Mast-Beschlagteile, BF-Nutensteine ​​(BF)					Steel	Stahl	5/16 In-18 TPI	5/16 In-18 TPI		0.067		Spring Nut	Federmutter
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	13.67	https://pacificsupply.bloomreach.com/products/11481	11481	B-Line N225ZN Channel Spring Nut	B-Line N225ZN Kanal Federmutter	Eaton B-Line N225ZN 1/2 Inch 13 Thread Spring Nut	Eaton B-Line N225ZN 1/2 Zoll 13 Gewindefedermutter	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_11481.jpg	8.61	Eaton B-Line	N225ZN	78101140343	STRUT FITTINGS,BF-CHANNEL NUTS (BF)	Mast-Beschlagteile, BF-Nutensteine ​​(BF)										0.116		Spring Nut	Federmutter
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	10.04	https://pacificsupply.bloomreach.com/products/4309888	4309888	B-Line N228SS6 Channel Spring Nut	B-Line N228SS6 Kanal Federmutter	Eaton B-Line N228SS6 3/8 Inch 16 Thread Spring Nut	Eaton B-Line N228SS6 3/8 Zoll Gewinde 16 Federmutter	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4309888	6.32	Eaton B-Line	N228SS6	78101140366	STRUT FITTINGS,BF-CHANNEL NUTS (BF)	Mast-Beschlagteile, BF-Nutensteine ​​(BF)					316 Stainless Steel	316 Edelstahl	3/8 In-16 TPI	3/8 In-16 TPI		0.114		Spring Nut	Federmutter
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	14.83	https://pacificsupply.bloomreach.com/products/36800	36800	B-Line TN228ZN Channel Twirl Nut	B-Line TN228ZN Kanal Whirl-Nuss	Eaton B-Line TN228ZN 3/8 Inch 16 Thread Twirl Nut	Eaton B-Line TN228ZN 3/8 Zoll Gewinde 16 Twirl Nut	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_36800	9.34	Eaton B-Line	TN228ZN	78101140173	STRUT FITTINGS,BF-TWIRL NUTS	Mast-Beschlagteile, BF-TWIRL NUTS					Steel	Stahl	3/8 In-16 TPI	3/8 In-16 TPI		0.09		Nut	Nuss
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	6.5	https://pacificsupply.bloomreach.com/products/11480	11480	B-Line N224ZN Channel Spring Nut	B-Line N224ZN Kanal Federmutter	B-Line N224ZN 1/4 Spring Nut	B-Line N224ZN 1/4 Federmutter	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_11480.jpg	4.09	Eaton B-Line	N224ZN	78101140333	STRUT FITTINGS,BF-CHANNEL NUTS (BF)	Mast-Beschlagteile, BF-Nutensteine ​​(BF)										0.067		Spring Nut	Federmutter
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	12.98	https://pacificsupply.bloomreach.com/products/36801	36801	B-Line TN224ZN Channel Twirl Nut	B-Line TN224ZN Kanal Whirl-Nuss	Eaton B-Line TN224ZN 1/4 Inch Twirl Nut	Eaton B-Line TN224ZN 1/4 Zoll Whirl-Nuss	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_36801	8.18	Eaton B-Line	TN224ZN	78101140143	STRUT FITTINGS,BF-TWIRL NUTS	Mast-Beschlagteile, BF-TWIRL NUTS					Steel	Stahl	1/4 In-20 TPI	1/4 In-20 TPI		0.067		Nut	Nuss
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|Toggle Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401011200	in stock	5.88	https://pacificsupply.bloomreach.com/products/4083391	4083391	Dottie TBC42 1/4 X 2 Toggle Bolts	Dottie TBC42 1/4 X 2 Kippdübeln	LH Dottie TBC42 1/4 x 2 Inch Zinc Plated Steel Phillips/Slotted Mushroom Head Toggle Bolt	LH Dottie TBC42 1/4 x 2 Zoll verzinktes Stahl Phillips / Schlitz-Pilz-Kopf-Toggle Bolt	LH DOTTIE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4083391.jpg	3.7	LH Dottie	TBC42	78100216859	Hollow Walls	Hohl Walls				2 in	Steel	Stahl	1/4 x 2 IN	1/4 x 2 IN		2.5		Mushroom Head with Spring Wing	Pilz-Kopf mit Federflügel
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|U-Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401011300	in stock	11.75	https://pacificsupply.bloomreach.com/products/3994541	3994541	B-Line B501-2ZN U-Bolt 2	B-Line B501-2ZN U-Bolzen 2	Eaton B-Line B501-2ZN 2 x 3/8 Inch U Bolt	Eaton B-Line B501-2ZN 2 x 3/8 Inch U Bolt	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3994541	7.41	Eaton B-Line	B501-2ZN	78101155613	STRUT FITTINGS,ROD-THREADED/NOT THREADED	Mast-Beschlagteile, ROD-THREADED / NICHT GEWINDE					Steel	Stahl	2 In	2 In		0.27		U-Bolt	U-Bolt
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|T-Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401011100	in stock	12.09	https://pacificsupply.bloomreach.com/products/14808	14808	Dottie 3/8 x 2 Machine Bolt	Dottie 3/8 x 2 Maschinen Bolt	LH Dottie MB382 3/8 x 2 Inch Zinc Plated Steel Hex Head Tap Bolt	LH Dottie MB382 3/8 x 2 Zoll Stahl verzinkt Sechskantkopfschraube	LH DOTTIE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_14808.jpg	7.62	LH Dottie	MB382	78100258810						2 in	Low-Carbon Steel	Kohlenstoffarmen Stahl	3/8 x 2 IN	3/8 x 2 IN		6.65		Hex Head Tap Bolt	Sechskantkopf Tap Bolt
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|Hanger Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401010400	in stock	5.48	https://pacificsupply.bloomreach.com/products/4427935	4427935	Cully 1/4 x 3 Hanger Bolt	Cully 1/4 x 3 Aufhängebolzen-	Cully 66148J 1/4 x 3 Hanger Bolt, Zinc (100/Jar)	Cully 66148J 1/4 x 3 Stockschraube, Zink (100 / Dose)	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4427935.jpg	3.46	Minerallac	66148J	8593708348	Standard hanger bolts are intended to be inserted into a pre-drilled pilot hole.	Standard Stockschrauben sind dazu bestimmt, in ein vorgebohrtes Pilotloch eingeführt werden.				3 in	Steel	Stahl	1/4 x 3 IN	1/4 x 3 IN		3		Hanger Bolt	Aufhängebolzen-
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|Toggle Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401011200	in stock	14.99	https://pacificsupply.bloomreach.com/products/4930258	4930258	Minerallac 3/8 X 6 RH Toggle Bolt	Minerallac 3/8 X 6 RH Kippdübel	Minerallac 58696J 3/8 x 6 Inch Zinc Plated Steel Slotted Round Head Toggle Bolt with Wing	Minerallac 58696J 3/8 x 6 Zoll verzinktes Stahl geschlitzt Rundkopf Kippdübel mit Flügeln	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4930258	9.45	Minerallac	58696J	8593704330	These light-duty anchors are for use in hollow block or gypsum wallboard.	Diese lichtLastAnker sind zur Verwendung in Hohlblock oder Gipsbauplatte.				6 in	Steel	Stahl				4.64		Toggle Bolts	Kippdübeln
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|Toggle Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401011200	in stock	13.25	https://pacificsupply.bloomreach.com/products/4705331	4705331	Cully 5/16 X 3 RH Toggle Bolt	Cully 5/16 X 3 RH Kippdübel	Minerallac 58647 5/16 x 3 Inch Zinc Plated Steel Slotted Round Head Toggle Bolt with Wing	Minerallac 58647 5/16 x 3 Zoll-verzinktes Stahl geschlitzt Rundkopf Kippdübel mit Flügeln	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4705331	8.35	Minerallac	58647	8593758647	These light-duty anchors are for use in hollow block or gypsum wallboard.	Diese lichtLastAnker sind zur Verwendung in Hohlblock oder Gipsbauplatte.				3 in	Steel	Stahl				6.5		Toggle Bolts	Kippdübeln
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|Toggle Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401011200	in stock	12.79	https://pacificsupply.bloomreach.com/products/4408810	4408810	Cully 3/8 x 3 Toggle Bolt	Cully 3/8 x 3 Toggle Bolt	Cully 58648J 3/8 x 3 Round Head Toggle Bolt & Wing, Slotted - Zinc (25/Jar)	Cully 58648J 3/8 x 3 Rundkopf Toggle Bolt & Wing, geschlitzt - Zink (25 / Dose)	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4408810.jpg	8.06	Minerallac	58648J	8593708274	These light-duty anchors are for use in hollow block or gypsum wallboard.	Diese lichtLastAnker sind zur Verwendung in Hohlblock oder Gipsbauplatte.				3	Zinc	Zink				4		Toggle Bolts	Kippdübeln
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|Machine Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401010800	in stock	11.97	https://pacificsupply.bloomreach.com/products/4653071	4653071	Hubbel Power - .750x32 Bolt	Hubbel Leistung - .750x32 Bolt	Hubbell Power 889832 3/4 x 32 Inch Double Arming Bolt	Hubbell Strom 889.832 3/4 x 32 Zoll Doppel Arming Bolt	CHANCE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4653071.jpg	7.54	Hubbell Power Systems	889832	9635947888	used for double arm applications (one arm on each side of the pole)	für Doppelarm Anwendungen verwendet (ein Arm auf jeder Seite des Pols)				32 in	Steel	Stahl	.750 X 32	.750 X 32		4.133		Double-Arming Bolts	Doppel-Arming Bolts
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|Toggle Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401011200	in stock	9	https://pacificsupply.bloomreach.com/products/4500860	4500860	Cully 1/4 X 6 RH Toggle Bolt	Cully 1/4 X 6 RH Kippdübel	Minerallac 58496J 1/4 x 6 Inch Zinc Plated Steel Slotted Round Head Toggle Bolt with Wing	Minerallac 58496J 1/4 x 6 Zoll verzinktes Stahl geschlitzt Rundkopf Kippdübel mit Flügeln	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4500860	5.67	Minerallac	58496J	8593708272	These light-duty anchors are for use in hollow block or gypsum wallboard.	Diese lichtLastAnker sind zur Verwendung in Hohlblock oder Gipsbauplatte.				6 in	Steel	Stahl				4.75		Toggle Bolts	Kippdübeln
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|Eye Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401010200	in stock	8.39	https://pacificsupply.bloomreach.com/products/4675747	4675747	Hubbel Power Bolt, Ovaleye .750 X 20	Hubbel Energie Bolt, Ovaleye 0,750 X 20	Hubbell Power 29990 Ovaleye 3/4 x 20 Inch Bolt	Hubbell Strom 29990 Ovaleye 3/4 x 20 Zoll Bolt	CHANCE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4675747.jpg	5.28	Hubbell Power Systems	29990	9635948623	Used for fastening	Wird für die Befestigung				20 in	Steel	Stahl	.750 X 20	.750 X 20		3.26		Ovaleye Bolts	Ovaleye Bolzen
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|Toggle Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401011200	in stock	8.31	https://pacificsupply.bloomreach.com/products/4410486	4410486	Cully 3/8 x 4 Toggle Bolt	Cully 3/8 x 4 Toggle Bolt	Cully 58664J 3/8 x 4 Round Head Toggle Bolt & Wing, Slotted - Zinc (25/Jar)	Cully 58664J 3/8 x 4 Rundkopf Toggle Bolt & Wing, geschlitzt - Zink (25 / Dose)	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4410486.jpg	5.23	Minerallac	58664J	8593708275	These light-duty anchors are for use in hollow block or gypsum wallboard.	Diese lichtLastAnker sind zur Verwendung in Hohlblock oder Gipsbauplatte.				4	Zinc	Zink				4.355		Toggle Bolts	Kippdübeln
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|Machine Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401010800	in stock	6.7	https://pacificsupply.bloomreach.com/products/4654916	4654916	Hubbel Power Bolt, Mach Square Head .875	Hubbel Energie Bolt, Mach Quadratisch Kopf 0,875	Hubbell Power PSSB781000 7/8 x 10 Inch 24500 lb Threaded Square Head Machine Bolt	Hubbell Strom PSSB781000 7/8 x 10 Zoll 24500 lb Gewinde Quadrat-Kopf-Maschine Bolt	CHANCE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4654916.jpg	4.22	Hubbell Power Systems	PSSB781000	9635947938	Used for fastening	Wird für die Befestigung				10 in	Steel	Stahl	.875 X 10	.875 X 10		2.006		Machine Bolts, Square Head	Maschinenschrauben, Quadratisch Kopf
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|Toggle Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401011200	in stock	6.03	https://pacificsupply.bloomreach.com/products/4525457	4525457	Cully 58696 3/8 X 6 RH Toggle Bolt	Cully 58696 3/8 X 6 RH Kippdübel	Minerallac 58696 3/8 x 6 Inch Zinc Plated Steel Slotted Round Head Toggle Bolt with Wing	Minerallac 58696 3/8 x 6 Zoll verzinktes Stahl geschlitzt Rundkopf Kippdübel mit Flügeln	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4525457	3.8	Minerallac	58696	8593758696	These light-duty anchors are for use in hollow block or gypsum wallboard.	Diese lichtLastAnker sind zur Verwendung in Hohlblock oder Gipsbauplatte.				6 in	Steel	Stahl				5.8		Toggle Bolts	Kippdübeln
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|Eye Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401010200	in stock	14.98	https://pacificsupply.bloomreach.com/products/4430309	4430309	Cully 64496 1/2 X 6 Eye Bolt Zp	Cully 64496 1/2 x 6 Ringschraube Zp	Minerallac 64496 1/2 x 6 Inch Zinc Plated Steel Eye Bolt with Hex Nut	Minerallac 64496 1/2 x 6 Inch verzinktes Stahlaugenschraube mit Sechskantmutter	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4430309	9.44	Minerallac	64496	8593764496	Can be used as a permanent fastening in side-to-side applications with hooks. May be used in overhead applications to suspend light weights temporary.	Kann als eine dauerhafte Befestigung in einer Seite-zu-Seite-Anwendungen mit Haken verwendet werden. Kann in Kopfanwendungen verwendet werden, um Licht Gewichte vorübergehend auszusetzen.				6 in	Carbon Steel	Kohlenstoffstahl				4.4		Closed Eye Bolt	Closed Eye Bolt
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|U-Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401011300	in stock	14.72	https://pacificsupply.bloomreach.com/products/4578053	4578053	B-Line B501-1/2ZN U-Bolt 1/2-In.	B-Line B501-1 / 2ZN U-Bolzen 1/2 in.	Eaton B-Line B501-1/2ZN 1/2 x 5/16 Inch U Bolt	Eaton B-Line B501-1 / 2ZN 1/2 x 5/16 Inch U Bolt	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4578053.jpg	9.27	Eaton B-Line	B501-1/2ZN	78101155563	STRUT FITTINGS,ROD-THREADED/NOT THREADED	Mast-Beschlagteile, ROD-THREADED / NICHT GEWINDE					Steel	Stahl	1/2 In	1/2 In		0.12		U-Bolt	U-Bolt
Fasteners & Hardwares|Fasteners|Bolts, Screws & Studs|Bolts|U-Bolts	Fasteners		PNB160000000000|PNB160400000000|PNB160401000000|PNB160401010000|PNB160401011300	in stock	14.69	https://pacificsupply.bloomreach.com/products/4547974	4547974	B-Line B501-6ZN U-Bolt 6-In.	B-Line B501-6ZN U-Bolzen 6-in.	Eaton B-Line B501-6ZN 5/8-11 Inch Threaded U-Bolt	Eaton B-Line B501-6ZN 5 / 8-11 Zoll Gewinde U-Bolt	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4547974	9.25	Eaton B-Line	B501-6ZN	78101155673	STRUT FITTINGS,ROD-THREADED/NOT THREADED	Mast-Beschlagteile, ROD-THREADED / NICHT GEWINDE					Steel	Stahl	6 In	6 In		1.76		U-Bolt	U-Bolt
