manufacturer	catalog_number	catalog_number_partialvalue	master_upc	application	color	height	length	material	size	voltage_rating	weight	type	availability	url	pid	title	description	brand	thumb_image	price	sale_price	category_paths
Lutron Electronics	SC-3PS-SW	['SC-', 'SC-3', 'SC-3P', 'SC-3PS', 'SC-3PS-', 'SC-3PS-S', 'SC-3PS-SW']	02755747550	Lighting Control	Snow			Metal/Plastic	4.69 in (119 mm) x 2.94 in (75 mm)	120/277 VAC	0.230	Mechanical switch, 3-way	True	https://pacific.bloomreach.com/supplyglobal/products/1663527___1663527	1663527	LUTRON SC-3PS-SW 3-WAY SWITCH	Lutron SC-3PS-SW Satin 3-Way Switch	Lutron	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1663527.jpg	6.32	3.98	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703060000', 'name': 'Rocker Switches'}, {'id': 'NA_240703060300', 'name': '3-Way'}]]
Greenlee	12-04-72A	['12-', '12-0', '12-04', '12-04-', '12-04-7', '12-04-72', '12-04-72A']	78331038084	For Drilling In Soft Woods Or Through Thin Sections							1.300	Type A	True	https://pacific.bloomreach.com/supplyglobal/products/17787___17787	17787	GRN 12-04-72A Bit D'Versibit	Greenlee 12-04-72A Bit D'Versibit .750x.250x72.00 A	Greenlee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_17787.jpg	7.12	4.48	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251501000000', 'name': 'Attachments'}, {'id': 'NA_251501090000', 'name': 'Drill Bits'}, {'id': 'NA_251501090400', 'name': 'Auger Bits'}]]
ABB Installation Products	90650I	['906', '9065', '90650', '90650I']	72849412560		Ivory		4 Inches/101.6mm, 7.5 Inches/190.5mm, 11.1 Inches/281.94	Nylon/Polyamide 6.6 Weather Resistant			33.400	Standard	True	https://pacific.bloomreach.com/supplyglobal/products/1865721___1865721	1865721	T&B 90650-I Jar Cable Ties Assorted	Thomas & Betts 90650I 4 x 7.5 Inch Natural Nylon 6/6 Weather Resistant Cable Tie Assortment Jar	Catamount	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1865721	5.19	3.27	[[{'id': 'NA_270000000000', 'name': 'Connectors, Marking, & Termination'}, {'id': 'NA_270100000000', 'name': 'Wire Bundling'}, {'id': 'NA_270104000000', 'name': 'Cable Ties'}]]
Hubbell Wiring Device-Kellems	HBL1221I	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1221', 'HBL1221I']	78358543138	Extra Heavy Duty Industrial	Ivory			Thermoplastic	Standard Sized	120-277 AC	0.200	General Purpose Switches	True	https://pacific.bloomreach.com/supplyglobal/products/19502___19502	19502	HW HBL1221I SP 20A 277V IV AC SW	Hubbell HBL1221-I 20A 120/277V SP Ivory Toggle Switch. Extra Heavy Duty Industrial Series	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19502.jpg	14.18	8.93	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1221PL	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1221', 'HBL1221P', 'HBL1221PL']	78358543146	Extra Heavy Duty Industrial	Red			Plastic	Standard Sized	120/277 VAC	0.200	General Purpose Switches	True	https://pacific.bloomreach.com/supplyglobal/products/19504___19504	19504	HW HBL1221PL SP 20A RED PL AC SW	Hubbell HBL1221PL 20 Amp 120/277 VAC 1-Pole Red Toggle Switch	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19504.jpg	8.35	5.26	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1221	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1221']	78358543132	Extra Heavy Duty Industrial	Brown			Thermoplastic	Standard Sized	120-277 AC	0.200	General Purpose Switches	True	https://pacific.bloomreach.com/supplyglobal/products/19506___19506	19506	HW HBL1221 SP 20A 277V BRN AC SW	Hubbell HBL1221 20A 120/277V SP Brown Toggle Switch. Extra Heavy Duty Industrial Series	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19506.jpg	7.98	5.03	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1221GY	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1221', 'HBL1221G', 'HBL1221GY']	78358543136	Extra Heavy Duty Industrial	Gray				Standard Sized	120/277 VAC	0.200	General Purpose Switches	True	https://pacific.bloomreach.com/supplyglobal/products/19507___19507	19507	HW HBL1221GY SP 20A GRY AC SW	Hubbell HBL1221GY 20 Amp 120/277 VAC 1-Pole Gray Toggle Switch	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19507.jpg	9.64	6.07	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1221ILC	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1221', 'HBL1221I', 'HBL1221IL', 'HBL1221ILC']	78358543142	Extra Heavy Duty Industrial	Colorless				Standard Sized	120/277 VAC	0.200	General Purpose Switches	True	https://pacific.bloomreach.com/supplyglobal/products/19508___19508	19508	HW HBL1221ILC SP 20A LTD AC SW	Hubbell HBL1221-ILC 20A 120/277V SP Clear Illuminated Toggle Switch. Extra Heavy Duty Industrial Series	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19508.jpg	10.11	6.37	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1222I	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1222', 'HBL1222I']	78358543164	Extra Heavy Duty Industrial	Ivory				Standard Sized	120-277 AC	0.200	General Purpose Switches	True	https://pacific.bloomreach.com/supplyglobal/products/19509___19509	19509	HW HBL1222I DP 20A 277V IV AC SW	Hubbell HBL1222-I 20A 120/277V DP Ivory Toggle Switch. Extra Heavy Duty Industrial Series	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19509.jpg	5.58	3.52	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1222L	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1222', 'HBL1222L']	78358543166	Double Pole	Black				Standard Product Size	120/277 VAC	0.200	General Purpose Switches	True	https://pacific.bloomreach.com/supplyglobal/products/19510___19510	19510	HW HBL1222L DP 20A AC LOCK SW	Hubbell HBL1222-L 20A 120/277V DP Black Locking Switch. Extra Heavy Duty Industrial Series	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19510.jpg	6.3	3.97	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1223I	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1223', 'HBL1223I']	78358543182	Extra Heavy Duty Industrial	Ivory			Thermoplastic	Standard Sized	120-277 AC	0.200	General Purpose Switches	True	https://pacific.bloomreach.com/supplyglobal/products/19513___19513	19513	HW HBL1223I 3WAY 20A IV AC SW	Hubbell HBL1223-I 20A 120/277V 3Way Ivory Toggle Switch. Extra Heavy Duty Industrial Series	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19513.jpg	11.77	7.42	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1223L	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1223', 'HBL1223L']	78358543188	Three Way	Black			Composite	Standard Product Size	120-277 AC	0.200	General Purpose Switches	True	https://pacific.bloomreach.com/supplyglobal/products/19514___19514	19514	HW HBL1223L 3WAY 20A AC LOCK SW	Hubbell HBL1223-L 20A 120/277V 3Way Black Locking Switch. Extra Heavy Duty Industrial Series	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19514.jpg	13.44	8.47	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1224	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1224']	78358543202	Extra Heavy Duty Industrial	Brown				Standard Sized	120/277 VAC	0.200	General Purpose Switches	True	https://pacific.bloomreach.com/supplyglobal/products/19516___19516	19516	HW HBL1224 4WAY 20A BRN AC SW	Hubbell HBL1224 20 Amp 120/277 VAC 4-Way Brown Toggle Switch	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19516.jpg	7.46	4.7	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1385I	['HBL', 'HBL1', 'HBL13', 'HBL138', 'HBL1385', 'HBL1385I']	78358543262	Extra Heavy Duty Industrial	Ivory				Standard Sized	120/277 VAC	0.250	General Purpose Switches	True	https://pacific.bloomreach.com/supplyglobal/products/19524___19524	19524	HW HBL1385I SPDT 20A IV AC SW	Hubbell HBL1385-I 20A 120/277V 2Cir SP Ivory Toggle Switch - Maintained Contact	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19524.jpg	9.16	5.77	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1386I	['HBL', 'HBL1', 'HBL13', 'HBL138', 'HBL1386', 'HBL1386I']	78358543266	Extra Heavy Duty Industrial	Ivory				Standard Sized	120/277 VAC	0.250	General Purpose Switches	True	https://pacific.bloomreach.com/supplyglobal/products/19526___19526	19526	HW HBL1386I DPDT 20A IV AC SW	Hubbell HBL1386I 20 Amp 120/277 VAC DPDT Ivory Toggle Switch	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19526.jpg	10.75	6.77	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Klein Tools	470	['470']	09264448128	Designed to take .5 or lighter hard lines				Forged Steel	127 mm		0.280	Individual Hooks and Blocks	True	https://pacific.bloomreach.com/supplyglobal/products/1996761___1996761	1996761	KLEIN 470 Swivel Hook with Plunger	Klein 470 Swivel Hook with Plunger Latch	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1996761.jpg	8.27	5.21	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160300000000', 'name': 'Cable, Chain & Rope'}, {'id': 'NA_160302000000', 'name': 'Fittings & Accessories'}, {'id': 'NA_160302250000', 'name': 'Swivel Hooks'}]]
Ideal Industries	90-052	['90-', '90-0', '90-05', '90-052']	78325090052		Red			Plastic			1.280	Flange Anchor Kit	True	https://pacific.bloomreach.com/supplyglobal/products/20485___20485	20485	IDEAL 90-052 10SCR FLNG ANCHOR KIT	IDEAL 90-052 Flange Anchor Kit, 201pc, 10-12 x 1 Anchors, #10-1-1/4 Screws, 1/4 Masonry Bit	IDEAL	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_20485.jpg	7.59	4.78	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160100000000', 'name': 'Fastener Assortments'}, {'id': 'NA_160101000000', 'name': 'Anchor Kit'}]]
Klein Tools	D213-9NETP	['D21', 'D213', 'D213-', 'D213-9', 'D213-9N', 'D213-9NE', 'D213-9NET', 'D213-9NETP']	09264470056		Dark Blue						1.100	Conduit Tools; High-Leverage Side-Cutting Pliers - Fish Tape Pulling	True	https://pacific.bloomreach.com/supplyglobal/products/21595___21595	21595	KLEIN D2139NETP 9-IN SIDECUT PLIER	Klein D2139NETP 9 Lineman's Fish Tape Pulling Pliers	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21595.jpg	13.26	8.35	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855260000', 'name': 'Special Purpose Pliers'}]]
Klein Tools	D213-8NE	['D21', 'D213', 'D213-', 'D213-8', 'D213-8N', 'D213-8NE']	09264470032		Dark Blue						1.000	High-Leverage	True	https://pacific.bloomreach.com/supplyglobal/products/21597___21597	21597	KLEIN D2138NE 8-IN SIDECUT PLIERS	Klein D213-8NE 8 Lineman's Pliers, High Leverage	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21597.jpg	11.42	7.2	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855260000', 'name': 'Special Purpose Pliers'}]]
Klein Tools	D220-7	['D22', 'D220', 'D220-', 'D220-7']	09264472030	Cutting of Wires	Red Grip			Tool steel			0.640	Heavy-Duty Diagonal-Cutting Pliers	True	https://pacific.bloomreach.com/supplyglobal/products/21598___21598	21598	KLEIN D2207 7-IN DIAG CUT PLIERS	Klein D220-7 7 Heavy-Duty Diagonal-Cutting Pliers - Tapered Nose	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21598.jpg	7.16	4.51	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855050000', 'name': 'Diagonal Cutting Pliers'}]]
Klein Tools	D502-12	['D50', 'D502', 'D502-', 'D502-1', 'D502-12']	09264473018		Yellow						1.440	Pump Pliers - Standard	True	https://pacific.bloomreach.com/supplyglobal/products/21613___21613	21613	KLEIN D502-12 12-IN PUMP PLIERS	Klein D502-12 12 Pump Pliers	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21613.jpg	14.27	8.99	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855280000', 'name': 'Tongue and Groove Pliers'}]]
Klein Tools	HD213-9NE	['HD2', 'HD21', 'HD213', 'HD213-', 'HD213-9', 'HD213-9N', 'HD213-9NE']	09264470044		Light Red						1.200	Heavy Duty, High-Leverage	True	https://pacific.bloomreach.com/supplyglobal/products/21627___21627	21627	KLEIN HD213-9NE 9-IN SIDE CUT PLIER	Klein HD213-9NE 9 Heavy Duty Lineman's Pliers	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21627.jpg	12.32	7.76	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855260000', 'name': 'Special Purpose Pliers'}]]
