pid	url	availability	price	gender	color	brand	material	collection	style	bread_crumb	title	stock_level	special_offer	season	edited_availability	edited_price	edited_gender	edited_color	edited_brand	edited_material	edited_collection	edited_style	edited_bread_crumb	edited_title	edited_stock_level	edited_special_offer	edited_season
101337	https://pacific.bloomreach.com/apparel/products/101337___101337	TRUE	150	unisex	White	Adidas				men>shoes|women>shoes|shoes>sneakers	ZX 2K Boost 2.0 Shoes	high	back2school	summer	TRUE	150	unisex	White	Adidas				men>shoes|women>shoes|shoes>sneakers	ZX 2K Boost 2.0 Shoes	high	back2school	summer
101338	https://pacific.bloomreach.com/apparel/products/101338___101338	TRUE	150	unisex	Blue	Adidas				men>shoes|shoes>sneakers	ZX 2K Boost Pure Shoes	ok	christmas	winter	TRUE	150	unisex	Blue	Adidas				men>shoes|shoes>sneakers	ZX 2K Boost Pure Shoes	ok	christmas	winter
101339	https://pacific.bloomreach.com/apparel/products/101339___101339	TRUE	75	unisex	White	Adidas				men>shoes|shoes>sneakers	Racer TR21 Shoes	unknown	back2school	winter	TRUE	75	unisex	White	Adidas				men>shoes|shoes>sneakers	Racer TR21 Shoes	unknown	back2school	winter
101340	https://pacific.bloomreach.com/apparel/products/101340___101340	TRUE	80	unisex	Grey	Adidas				shoes>sneakers|men>activewear	EQ21 Run Shoes	ok	back2school	summer	TRUE	80	unisex	Grey	Adidas				shoes>sneakers|men>activewear	EQ21 Run Shoes	ok	back2school	summer
101341	https://pacific.bloomreach.com/apparel/products/101341___101341	TRUE	75	unisex	Black	Adidas				men>shoes|shoes>sneakers	Racer TR21 Shoes	ok	back2school	mid-season	TRUE	75	unisex	Black	Adidas				men>shoes|shoes>sneakers	Racer TR21 Shoes	ok	back2school	mid-season
101342	https://pacific.bloomreach.com/apparel/products/101342___101342	TRUE	65	unisex	White	Adidas				men>shoes|women>shoes	Delpala x FMF Shoes	low	back2school	mid-season	TRUE	65	unisex	White	Adidas				men>shoes|women>shoes	Delpala x FMF Shoes	low	back2school	mid-season
101343	https://pacific.bloomreach.com/apparel/products/101343___101343	TRUE	100	unisex	Blue	Adidas				men>shoes|shoes>sneakers	ZX 1K Boost Shoes	high	mothersday	summer	TRUE	100	unisex	Blue	Adidas				men>shoes|shoes>sneakers	ZX 1K Boost Shoes	high	mothersday	summer
101344	https://pacific.bloomreach.com/apparel/products/101344___101344	TRUE	80	unisex	White	Adidas				shoes>sneakers	ZX 1K Boost Shoes	high	mothersday	winter	TRUE	80	unisex	White	Adidas				shoes>sneakers	ZX 1K Boost Shoes	high	mothersday	winter
101345	https://pacific.bloomreach.com/apparel/products/101345___101345	TRUE	70	unisex	White	Adidas				men>shoes|women>shoes|shoes>sneakers	Puremotion Shoes	low	mothersday	summer	TRUE	70	unisex	White	Adidas				men>shoes|women>shoes|shoes>sneakers	Puremotion Shoes	low	mothersday	summer
101346	https://pacific.bloomreach.com/apparel/products/101346___101346	TRUE	150	unisex	White	Adidas				men>shoes|women>shoes|shoes>sneakers	ZX 2K Boost 2.0 Shoes	high	mothersday	mid-season	TRUE	150	unisex	White	Adidas				men>shoes|women>shoes|shoes>sneakers	ZX 2K Boost 2.0 Shoes	high	mothersday	mid-season
101347	https://pacific.bloomreach.com/apparel/products/101347___101347	TRUE	150	unisex	Purple	Adidas			 	men>shoes|shoes>sneakers	ZX 2K Boost 2.0 Shoes	high	back2school	winter	TRUE	150	unisex	Purple	Adidas				men>shoes|shoes>sneakers	ZX 2K Boost 2.0 Shoes	high	back2school	winter
101348	https://pacific.bloomreach.com/apparel/products/101348___101348	TRUE	100	unisex	White	Adidas				men>shoes|shoes>sneakers	ZX 1K Boost Shoes	unknown	back2school	mid-season	TRUE	100	unisex	White	Adidas				men>shoes|shoes>sneakers	ZX 1K Boost Shoes	unknown	back2school	mid-season
101350	https://pacific.bloomreach.com/apparel/products/101350___101350	TRUE	100	unisex	Black	Adidas				men>shoes|shoes>sneakers	ZX 1K Boost Shoes	low	blackfriday	winter	TRUE	100	unisex	Black	Adidas				men>shoes|shoes>sneakers	ZX 1K Boost Shoes	low	blackfriday	winter
101351	https://pacific.bloomreach.com/apparel/products/101351___101351	TRUE	110	male	Black	Adidas				men>shoes|shoes>sneakers	ZX 1K Boost Shoes	high	blackfriday	mid-season	TRUE	110	male	Black	Adidas				men>shoes|shoes>sneakers	ZX 1K Boost Shoes	high	blackfriday	mid-season
101352	https://pacific.bloomreach.com/apparel/products/101352___101352	TRUE	100	unisex	Grey	Adidas				men>shoes|shoes>sneakers	ZX 1K Boost Shoes	low	easter	mid-season	TRUE	100	unisex	Grey	Adidas				men>shoes|shoes>sneakers	ZX 1K Boost Shoes	low	easter	mid-season
101353	https://pacific.bloomreach.com/apparel/products/101353___101353	TRUE	100	unisex	Pink	Adidas				shoes>sneakers	ZX 1K Boost Shoes	high	mothersday	winter	TRUE	100	unisex	Pink	Adidas				shoes>sneakers	ZX 1K Boost Shoes	high	mothersday	winter
101354	https://pacific.bloomreach.com/apparel/products/101354___101354	TRUE	65	unisex	White	Adidas				men>shoes|shoes>sneakers	Grand Court Shoes	low	easter	mid-season	TRUE	65	unisex	White	Adidas				men>shoes|shoes>sneakers	Grand Court Shoes	low	easter	mid-season
101355	https://pacific.bloomreach.com/apparel/products/101355___101355	FALSE	26	unisex	Black	Adidas				women>activewear	Marathon 20 Shorts	OOS	blackfriday	winter	FALSE	26	unisex	Black	Adidas				women>activewear	Marathon 20 Shorts	OOS	blackfriday	winter
101356	https://pacific.bloomreach.com/apparel/products/101356___101356	TRUE	100	unisex	White	Adidas				shoes>sneakers|men>shoes	ZX 1K Boost Shoes	unknown	blackfriday	summer	TRUE	100	unisex	White	Adidas				shoes>sneakers|men>shoes	ZX 1K Boost Shoes	unknown	blackfriday	summer
101357	https://pacific.bloomreach.com/apparel/products/101357___101357	TRUE	80	unisex	White	Adidas				shoes>sneakers	Multix Shoes	high	back2school	winter	TRUE	80	unisex	White	Adidas				shoes>sneakers	Multix Shoes	high	back2school	winter
101358	https://pacific.bloomreach.com/apparel/products/101358___101358	TRUE	120	unisex	White	Adidas				shoes>sneakers|men>activewear|women>activewear	X9000L3 Shoes	high	blackfriday	summer	TRUE	120	unisex	White	Adidas				shoes>sneakers|men>activewear|women>activewear	X9000L3 Shoes	high	blackfriday	summer
101360	https://pacific.bloomreach.com/apparel/products/101360___101360	TRUE	80	unisex	Yellow	Adidas				shoes>sneakers	Multix Shoes	ok	back2school	mid-season	TRUE	80	unisex	Yellow	Adidas				shoes>sneakers	Multix Shoes	ok	back2school	mid-season
101362	https://pacific.bloomreach.com/apparel/products/101362___101362	TRUE	37.12	unisex	White	Adidas				men>accessories	Ultralight Allover Graphic Crew Performance Socks	low	none	summer	TRUE	37.12	unisex	White	Adidas				men>accessories	Ultralight Allover Graphic Crew Performance Socks	low	none	summer
101365	https://pacific.bloomreach.com/apparel/products/101365___101365	TRUE	25	unisex	Green	Adidas				men>activewear|men>tops	AEROREADY Designed 2 Move Sport Stretch Tee	low	none	winter	TRUE	25	unisex	Green	Adidas				men>activewear|men>tops	AEROREADY Designed 2 Move Sport Stretch Tee	low	none	winter
101366	https://pacific.bloomreach.com/apparel/products/101366___101366	TRUE	40	unisex	Black	Adidas				handbags>backpacks&totes|men>accessories|women>accessories	4ATHLTS ID Duffel Bag Small	unknown	none	summer	TRUE	40	unisex	Black	Adidas				handbags>backpacks&totes|men>accessories|women>accessories	4ATHLTS ID Duffel Bag Small	unknown	none	summer
101369	https://pacific.bloomreach.com/apparel/products/101369___101369	TRUE	37.12	unisex	White	Adidas				men>activewear|women>activewear|men>accessories|women>accessories	Running Ultralight Crew Performance Socks	unknown	blackfriday	summer	TRUE	37.12	unisex	White	Adidas				men>activewear|women>activewear|men>accessories|women>accessories	Running Ultralight Crew Performance Socks	unknown	blackfriday	summer
101373	https://pacific.bloomreach.com/apparel/products/101373___101373	TRUE	45	unisex	Purple	Adidas				women>tops|women>activewear	Essentials 3-Stripes Cropped Hoodie	unknown	blackfriday	summer	TRUE	45	unisex	Purple	Adidas				women>tops|women>activewear	Essentials 3-Stripes Cropped Hoodie	unknown	blackfriday	summer
101375	https://pacific.bloomreach.com/apparel/products/101375___101375	TRUE	100	female	Pink	Adidas				women>shoes|shoes>sneakers	SAMBAROSE Shoes	ok	christmas	winter	TRUE	100	female	Pink	Adidas				women>shoes|shoes>sneakers	SAMBAROSE Shoes	ok	christmas	winter
101376	https://pacific.bloomreach.com/apparel/products/101376___101376	TRUE	100	unisex	Pink	Adidas				women>shoes|shoes>sneakers	SAMBAROSE Shoes	low	blackfriday	winter	TRUE	100	unisex	Pink	Adidas				women>shoes|shoes>sneakers	SAMBAROSE Shoes	low	blackfriday	winter
101379	https://pacific.bloomreach.com/apparel/products/101379___101379	TRUE	35	unisex	Gold	Adidas				men>shoes|women>shoes	Adilette Comfort Slides	ok	blackfriday	winter	TRUE	35	unisex	Gold	Adidas				men>shoes|women>shoes	Adilette Comfort Slides	ok	blackfriday	winter
101380	https://pacific.bloomreach.com/apparel/products/101380___101380	TRUE	35	female	White	Adidas				women>shoes	Adilette Comfort Slides	ok	back2school	summer	TRUE	35	female	White	Adidas				women>shoes	Adilette Comfort Slides	ok	back2school	summer
101381	https://pacific.bloomreach.com/apparel/products/101381___101381	TRUE	55	unisex	Green	Adidas	Cotton			men>tops|men>activewear	Essentials Mélange Embroidered Small Logo Hoodie	low	mothersday	summer	TRUE	55	unisex	Green	Adidas	Cotton			men>tops|men>activewear	Essentials Mélange Embroidered Small Logo Hoodie	low	mothersday	summer
101382	https://pacific.bloomreach.com/apparel/products/101382___101382	TRUE	35	unisex	Purple	Adidas				women>shoes|women>accessories	Adilette Comfort Slides	unknown	blackfriday	mid-season	TRUE	35	unisex	Purple	Adidas				women>shoes|women>accessories	Adilette Comfort Slides	unknown	blackfriday	mid-season
101383	https://pacific.bloomreach.com/apparel/products/101383___101383	TRUE	55	unisex	Blue	Adidas				men>pants|men>activewear	adidas Sportswear Future Icons Logo Graphic Pants	ok	back2school	mid-season	TRUE	55	unisex	Blue	Adidas				men>pants|men>activewear	adidas Sportswear Future Icons Logo Graphic Pants	ok	back2school	mid-season
101384	https://pacific.bloomreach.com/apparel/products/101384___101384	TRUE	25	unisex	White	Adidas	Cotton			men>tops|women>tops|men>activewear|women>activewear	LOUNGEWEAR Essentials Logo Tee	high	back2school	summer	TRUE	25	unisex	White	Adidas	Cotton			men>tops|women>tops|men>activewear|women>activewear	LOUNGEWEAR Essentials Logo Tee	high	back2school	summer
101392	https://pacific.bloomreach.com/apparel/products/101392___101392	TRUE	30	unisex	Grey	Adidas				men>tops|men>activewear	adidas Sportswear Future Icons Logo Graphic Tee	unknown	christmas	mid-season	TRUE	30	unisex	Grey	Adidas				men>tops|men>activewear	adidas Sportswear Future Icons Logo Graphic Tee	unknown	christmas	mid-season
101396	https://pacific.bloomreach.com/apparel/products/101396___101396	TRUE	55	unisex	Black	Adidas				men>pants|men>activewear	adidas Sportswear Future Icons Logo Graphic Pants	unknown	mothersday	winter	TRUE	55	unisex	Black	Adidas				men>pants|men>activewear	adidas Sportswear Future Icons Logo Graphic Pants	unknown	mothersday	winter
101399	https://pacific.bloomreach.com/apparel/products/101399___101399	TRUE	35	unisex	Black	Adidas				women>shoes|shoes>casual	Adilette Comfort Slides	high	back2school	summer	TRUE	35	unisex	Black	Adidas				women>shoes|shoes>casual	Adilette Comfort Slides	high	back2school	summer
101405	https://pacific.bloomreach.com/apparel/products/101405___101405	TRUE	35	female	Pink	Adidas				women>shoes|shoes>casual	Adilette Comfort Slides	high	none	winter	TRUE	35	female	Pink	Adidas				women>shoes|shoes>casual	Adilette Comfort Slides	high	none	winter
101406	https://pacific.bloomreach.com/apparel/products/101406___101406	TRUE	35	unisex	Black	Adidas				women>shoes|shoes>casual	Adilette Comfort Slides	low	blackfriday	winter	TRUE	35	unisex	Black	Adidas				women>shoes|shoes>casual	Adilette Comfort Slides	low	blackfriday	winter
101408	https://pacific.bloomreach.com/apparel/products/101408___101408	TRUE	30	unisex	Burgundy	Adidas				men>tops|men>activewear	adidas Sportswear Future Icons Logo Graphic Tee	ok	back2school	mid-season	TRUE	30	unisex	Burgundy	Adidas				men>tops|men>activewear	adidas Sportswear Future Icons Logo Graphic Tee	ok	back2school	mid-season
101409	https://pacific.bloomreach.com/apparel/products/101409___101409	TRUE	70	unisex	Black	Adidas				kids>activewear|shoes>sneakers	Hamburg Shoes	ok	valentine	mid-season	TRUE	70	unisex	Black	Adidas				kids>activewear|shoes>sneakers	Hamburg Shoes	ok	valentine	mid-season
101411	https://pacific.bloomreach.com/apparel/products/101411___101411	TRUE	65	unisex	Blue	Adidas				men>activewear|women>activewear	adidas Sportswear Future Icons 3-Stripes Hoodie	low	back2school	mid-season	TRUE	65	unisex	Blue	Adidas				men>activewear|women>activewear	adidas Sportswear Future Icons 3-Stripes Hoodie	low	back2school	mid-season
101412	https://pacific.bloomreach.com/apparel/products/101412___101412	TRUE	180	unisex	White	Adidas				shoes>sneakers|men>activewear	Ultraboost Slip-On DNA Shoes	ok	mothersday	mid-season	TRUE	180	unisex	White	Adidas				shoes>sneakers|men>activewear	Ultraboost Slip-On DNA Shoes	ok	mothersday	mid-season
101413	https://pacific.bloomreach.com/apparel/products/101413___101413	TRUE	80	female	White	Adidas				women>shoes|shoes>sneakers	Bryony Shoes	ok	back2school	mid-season	TRUE	80	female	White	Adidas				women>shoes|shoes>sneakers	Bryony Shoes	ok	back2school	mid-season
101414	https://pacific.bloomreach.com/apparel/products/101414___101414	TRUE	75	unisex	Grey	Adidas				men>shoes|shoes>sneakers	Racer TR21 Shoes	unknown	valentine	summer	TRUE	75	unisex	Grey	Adidas				men>shoes|shoes>sneakers	Racer TR21 Shoes	unknown	valentine	summer
101415	https://pacific.bloomreach.com/apparel/products/101415___101415	TRUE	75	unisex	Black	Adidas				shoes>sneakers|men>shoes	Racer TR21 Shoes	ok	christmas	mid-season	TRUE	75	unisex	Black	Adidas				shoes>sneakers|men>shoes	Racer TR21 Shoes	ok	christmas	mid-season
101416	https://pacific.bloomreach.com/apparel/products/101416___101416	TRUE	120	unisex	Black	Adidas				shoes>sneakers	ZX 2K Boost Shoes	high	blackfriday	mid-season	TRUE	120	unisex	Black	Adidas				shoes>sneakers	ZX 2K Boost Shoes	high	blackfriday	mid-season
101417	https://pacific.bloomreach.com/apparel/products/101417___101417	TRUE	70	unisex	White	Adidas				women>shoes|shoes>sneakers	Cloudfoam Pure 2.0  Shoes	high	mothersday	mid-season	TRUE	70	unisex	White	Adidas				women>shoes|shoes>sneakers	Cloudfoam Pure 2.0  Shoes	high	mothersday	mid-season
101418	https://pacific.bloomreach.com/apparel/products/101418___101418	TRUE	80	female	White	Adidas				women>shoes|shoes>sneakers	Bryony Shoes	low	mothersday	summer	TRUE	80	female	White	Adidas				women>shoes|shoes>sneakers	Bryony Shoes	low	mothersday	summer
101419	https://pacific.bloomreach.com/apparel/products/101419___101419	TRUE	70	female	White	Adidas				women>shoes|men>shoes|shoes>sneakers	Cloudfoam Pure 2.0  Shoes	ok	back2school	mid-season	TRUE	70	female	White	Adidas				women>shoes|men>shoes|shoes>sneakers	Cloudfoam Pure 2.0  Shoes	ok	back2school	mid-season
101420	https://pacific.bloomreach.com/apparel/products/101420___101420	TRUE	80	female	White	Adidas				women>shoes|shoes>sneakers	Bryony Shoes	ok	none	summer	TRUE	80	female	White	Adidas				women>shoes|shoes>sneakers	Bryony Shoes	ok	none	summer
101421	https://pacific.bloomreach.com/apparel/products/101421___101421	TRUE	70	unisex	White	Adidas				women>shoes|shoes>sneakers	Cloudfoam Pure 2.0  Shoes	unknown	back2school	mid-season	TRUE	70	unisex	White	Adidas				women>shoes|shoes>sneakers	Cloudfoam Pure 2.0  Shoes	unknown	back2school	mid-season
101422	https://pacific.bloomreach.com/apparel/products/101422___101422	TRUE	130	unisex	Blue	Adidas				shoes>sneakers	Pureboost 21 Shoes	low	back2school	winter	TRUE	130	unisex	Blue	Adidas				shoes>sneakers	Pureboost 21 Shoes	low	back2school	winter
101423	https://pacific.bloomreach.com/apparel/products/101423___101423	TRUE	70	unisex	White	Adidas				shoes>sneakers	Postmove Shoes	ok	blackfriday	winter	TRUE	70	unisex	White	Adidas				shoes>sneakers	Postmove Shoes	ok	blackfriday	winter
101424	https://pacific.bloomreach.com/apparel/products/101424___101424	TRUE	100	unisex	Black	Adidas				shoes>sneakers|men>shoes|women>shoes	Ozelia Shoes	low	mothersday	summer	TRUE	100	unisex	Black	Adidas				shoes>sneakers|men>shoes|women>shoes	Ozelia Shoes	low	mothersday	summer
101425	https://pacific.bloomreach.com/apparel/products/101425___101425	TRUE	45	unisex	Red	Adidas				women>shoes|shoes>casual	HER Studio London Adilette Slides	high	valentine	winter	TRUE	45	unisex	Red	Adidas				women>shoes|shoes>casual	HER Studio London Adilette Slides	high	valentine	winter
101426	https://pacific.bloomreach.com/apparel/products/101426___101426	TRUE	70	unisex	White	Adidas				women>shoes|shoes>sneakers	Cloudfoam Pure 2.0  Shoes	unknown	christmas	winter	TRUE	70	unisex	White	Adidas				women>shoes|shoes>sneakers	Cloudfoam Pure 2.0  Shoes	unknown	christmas	winter
101427	https://pacific.bloomreach.com/apparel/products/101427___101427	TRUE	45	unisex	White	Adidas				women>shoes|shoes>casual	Adilette Slides	unknown	christmas	mid-season	TRUE	45	unisex	White	Adidas				women>shoes|shoes>casual	Adilette Slides	unknown	christmas	mid-season
101428	https://pacific.bloomreach.com/apparel/products/101428___101428	TRUE	100	unisex	Green	Adidas				shoes>sneakers	Ozelia Shoes	ok	christmas	mid-season	TRUE	100	unisex	Green	Adidas				shoes>sneakers	Ozelia Shoes	ok	christmas	mid-season
101429	https://pacific.bloomreach.com/apparel/products/101429___101429	TRUE	130	unisex	White	Adidas				men>shoes|women>shoes|shoes>sneakers	Pureboost 21 Shoes	high	easter	winter	TRUE	130	unisex	White	Adidas				men>shoes|women>shoes|shoes>sneakers	Pureboost 21 Shoes	high	easter	winter
