crumbs	crumbs_de	demo site navbar	demo site dropdown	crumbs_id	availability	price	url	pid	title_old	title_de	description_old	description_de	brand	thumb_image	sale_price	manufacturer	catalog_number	master_upc	application_old	application_de	color_old	color_de	height	length	material_old	material_de	size_old	size_de	voltage_rating	weight_old	weight_de	width	type_old	type_de
Tools & Instruments|Power Tools & Attachments|Attachments|Bohrers|Bohrer Sets	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bohrer|Bohrersets	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501090000|PNB251501091800	in stock	7.06	https://pacificsupply.bloomreach.com/products/322992	322992	Klein 53001 15-PC Bohrer Set	Klein 53001 15-PC-Bohrer-Set	Klein 53001 15pc Bohrer Set	Klein 53001 15pc Bohrer Set	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_322992.jpg	4.45	Klein Tools	53001	9264453001	General Purpose	Allgemeiner Zweck										2.06	0.934		Regular-Point Bohrers	Regelmäßige Punktbohrer
Tools & Instruments|Power Tools & Attachments|Attachments|Bohrers|Step Bits	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bohrer|Stufenbohrer 	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501090000|PNB251501094200	in stock	11.5	https://pacificsupply.bloomreach.com/products/4765951	4765951	Klein KTSB15 Step Bohrer #15	Klein KTSB15 Stufenbohrer Bit # 15	Klein KTSB15 Step Bohrer #15, Double-Fluted	Klein KTSB15 Stufenbohrer Bit # 15, Double-Gerippte	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4765951.jpg	7.24	Klein Tools	KTSB15	9264459115	High-visibility silver targets for primary hole sizes.	High-Visibility-Silber-Ziele für die primären Lochgrößen.					M2 Steel	M2 Stahl	7/8 - 1-3/8 (22 - 35 mm)	22 - 35 mm		0.46	0.209		Two Flute	zwei Flöte
Tools & Instruments|Power Tools & Attachments|Attachments|Bohrers|Step Bits	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bohrer|Stufenbohrer 	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501090000|PNB251501094200	in stock	13.19	https://pacificsupply.bloomreach.com/products/4765950	4765950	Klein KTSB14 Step Bohrer #14	Klein KTSB14 Stufenbohrer Bit # 14	Klein KTSB14 Step Bohrer #14 - Double-Fluted	Klein KTSB14 Stufenbohrer # 14 - doppelt geriffelten	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4765950.jpg	8.31	Klein Tools	KTSB14	9264459114	High-visibility silver targets for primary hole sizes.	High-Visibility-Silber-Ziele für die primären Lochgrößen.					High Speed Steel	Hochgeschwindigkeitsstahl	3/16 - 7/8 (5 - 22 mm)	5 - 22 mm		0.25	0.113		Two Flute	zwei Flöte
Tools & Instruments|Power Tools & Attachments|Attachments|Bohrers|Step Bits	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bohrer|Stufenbohrer 	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501090000|PNB251501094200	in stock	10.59	https://pacificsupply.bloomreach.com/products/4765948	4765948	Klein KTSB03 Step Bohrer #3	Klein KTSB03 Stufenbohrer Bit # 3	Klein KTSB03 Step Bohrer #3 - Double-Fluted	Klein KTSB03 Stufenbohrer Bit # 3 - doppelt geriffelten	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4765948.jpg	6.67	Klein Tools	KTSB03	9264459103	High-visibility silver targets for primary hole sizes.	High-Visibility-Silber-Ziele für die primären Lochgrößen.					High Speed Steel	Hochgeschwindigkeitsstahl	1/4 - 3/4 (6 - 19 mm)	6 - 19 mm		0.2	0.091		Two Flute	zwei Flöte
Tools & Instruments|Power Tools & Attachments|Attachments|Bohrers|Step Bits	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bohrer|Stufenbohrer 	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501090000|PNB251501094200	in stock	9.99	https://pacificsupply.bloomreach.com/products/4765947	4765947	Klein KTSB01 Step Bohrer #1	Klein KTSB01 Stufenbohrer Bit # 1	Klein KTSB01 Step Bohrer #1 - Double-Fluted	Klein KTSB01 Stufenbohrer Bit # 1 - doppelt geriffelten	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4765947.jpg	6.3	Klein Tools	KTSB01	9264459101	High-visibility silver targets for primary hole sizes.	High-Visibility-Silber-Ziele für die primären Lochgrößen.							1/8 - 1/2 (3 - 13 mm)	3 - 13 mm		0.15	0.068		Two Flute	zwei Flöte
Tools & Instruments|Power Tools & Attachments|Attachments|Bohrers|Step Bits	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bohrer|Stufenbohrer 	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501090000|PNB251501094200	in stock	9.03	https://pacificsupply.bloomreach.com/products/4765949	4765949	Klein KTSB11 Step Bohrer #11	Klein KTSB11 Stufenbohrer Bit # 11	Klein KTSB11 Step Bohrer #11 - Double-Fluted	Klein KTSB11 Stufenbohrer # 11 - doppelt geriffelten	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4765949.jpg	5.69	Klein Tools	KTSB11	9264459111	High-visibility silver targets for primary hole sizes.	High-Visibility-Silber-Ziele für die primären Lochgrößen.					High Speed Steel	Hochgeschwindigkeitsstahl	7/8 - 1-1/8 (22 - 29 mm)	22 - 29 mm		0.27	0.122		Two Flute	zwei Flöte
Tools & Instruments|Power Tools & Attachments|Attachments|Bohrers|Bohrer Sets	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bohrer|Bohrersets	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501090000|PNB251501091800	in stock	11.91	https://pacificsupply.bloomreach.com/products/4419664	4419664	Milwaukee 48-89-1105 Bit Bohrer	Milwaukee 48-89-1105 Bit Bohrer	Milwaukee 48-89-1105 20-Piece ThunderBolzen&#174; Titanium Coated Bohrer Set	Milwaukee 48-89-1105 20-Stück-ThunderBolzen & # 174; Titan beschichtete Bohrer Set	MILWAUKEE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4419664.jpg	7.5	Milwaukee Electric Tool	48-89-1105	4524217061												1.4	0.635		20-Piece	20-Stück
Tools & Instruments|Power Tools & Attachments|Attachments|Bohrers|Bohrer Sets	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bohrer|Bohrersets	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501090000|PNB251501091800	in stock	10.94	https://pacificsupply.bloomreach.com/products/4495616	4495616	Ideal 35-524 Step Bohrer Kit	Ideal 35-524 Stufenbohrer Kit	Ideal 3pc 35-524 Step Bohrer Kit, Quick Change, High Speed	Ideal 3pc 35-524 Stufenbohrer-Kit, Quick Change, High-Speed	IDEAL	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4495616.jpg	6.9	Ideal Industries	35-524	78325071341												1.76	0.798		Quick Change Step Bohrer Kit	Quick Change-Stufenbohrer Kit
Tools & Instruments|Power Tools & Attachments|Attachments|Bohrers|Bohrer Sets	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bohrer|Bohrersets	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501090000|PNB251501091800	in stock	10.58	https://pacificsupply.bloomreach.com/products/4538381	4538381	Milwaukee 48-89-9221 Step Bit 3Pc Set	Milwaukee 48-89-9221 Schritt Bit 3Pc Set	Milwaukee 48-89-9221&nbsp; 3pc Step Bohrer Set (#1, #2, & #4)	Milwaukee 48-89-9221 & nbsp; 3pc Stufenbohrer Set (# 1, # 2, & # 4)	MILWAUKEE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4538381.jpg	6.67	Milwaukee Electric Tool	48-89-9221	4524230774												1.3	0.590			
Tools & Instruments|Power Tools & Attachments|Attachments|Bohrers|Bohrer Sets	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bohrer|Bohrersets	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501090000|PNB251501091800	in stock	8.83	https://pacificsupply.bloomreach.com/products/4433153	4433153	Milwaukee 48-89-2803 Bit 15Pc	Milwaukee 48-89-2803 Bit 15pc	Milwaukee 48-89-2803&nbsp; 15pc ThunderBolzen&#174; Black Oxide Bohrer Set	Milwaukee 48-89-2803 & nbsp; 15pc ThunderBolzen & # 174; Black Oxide Bohrer Set	MILWAUKEE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4433153.jpg	5.57	Milwaukee Electric Tool	48-89-2803	4524218736							High Carbon Steel	High Carbon Steel				1.02	0.463		15-Piece	15-teilige
Tools & Instruments|Power Tools & Attachments|Attachments|Band Saw Blades	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bandsägeblatt	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501010000	in stock	12.95	https://pacificsupply.bloomreach.com/products/4446757	4446757	Milwaukee 48-39-0508 Band Saw Blade	Milwaukee 48-39-0508 Sägeband	Milwaukee 48-39-0508 10 TPI Compact Portable Band Saw Blade	Milwaukee 48-39-0508 10 TPI Compact tragbare Sägeband	MILWAUKEE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4446757.jpg	8.16	Milwaukee Electric Tool	48-39-0508	4524220184												0.3	0.136			
Tools & Instruments|Power Tools & Attachments|Attachments|Band Saw Blades	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bandsägeblatt	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501010000	in stock	12.22	https://pacificsupply.bloomreach.com/products/4526542	4526542	Milwaukee 48-39-0509 Band Saw Blade	Milwaukee 48-39-0509 Sägeband	Milwaukee 48-39-0509 10 TPI Compact Portable Band Saw Blade (3 Pack)	Milwaukee 48-39-0509 10 TPI Compact tragbare Sägeband (3er-Pack)	MILWAUKEE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4526542.jpg	7.7	Milwaukee Electric Tool	48-39-0509	4524220149												0.45	0.204			
Tools & Instruments|Power Tools & Attachments|Attachments|Band Saw Blades	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bandsägeblatt	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501010000	in stock	9.2	https://pacificsupply.bloomreach.com/products/4433220	4433220	Milwaukee 48-39-0518 Band Saw Blade	Milwaukee 48-39-0518 Sägeband	Milwaukee 48-39-0518 14 TPI Compact Portable Band Saw Blade	Milwaukee 48-39-0518 14 TPI Compact tragbare Sägeband	MILWAUKEE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4433220.jpg	5.8	Milwaukee Electric Tool	48-39-0518	4524220189												0.3	0.136			
Tools & Instruments|Brushes|Handheld Brushes|Scratch Brushes	Werkzeuge & Instrumente|Pinsel|Handpinsel|Drahtbürste	Tools	Brushes	PNB250000000000|PNB250200000000|PNB250201000000|PNB250201110000	in stock	12.41	https://pacificsupply.bloomreach.com/products/4196227	4196227	Weiler 25201 Hand Wire Brush	Weiler 25201 Hand Drahtbürste	Weiler 25201 Vortec Pro Hand Wire Scratch Brush, .012 Steel Fill, Curved Handle, 4 x 19 Rows	Weiler 25201 Vortec Pro Hand Draht Scratch-Bürste, 0,012 Stahl Fill, gebogener Griff, 4 x 19 Zeilen	Weiler	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4196227.jpg	7.82	Weiler Corp	25201	1238225201													0.000			
Tools & Instruments|Brushes|Handheld Brushes|Scratch Brushes	Werkzeuge & Instrumente|Pinsel|Handpinsel|Drahtbürste	Tools	Brushes	PNB250000000000|PNB250200000000|PNB250201000000|PNB250201110000	in stock	9.79	https://pacificsupply.bloomreach.com/products/4055385	4055385	Weiler 44189 Brush, Brass WCB 330B	Weiler 44189 Bürste, Messing WCB 330B	Weiler 44189 Small Hand Wire Scratch Brush, Brass Fill, Wood Block, 3 x 7 Rows	Weiler 44189 Klein Hand Draht Scratch-Bürste, Messing Fill, Holzblock, 3 x 7 Reihen	Weiler	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4055385.jpg	6.17	Weiler Corp	44189V	1238244189													0.000		Small Hand Wire	Klein Hand Draht
Tools & Instruments|Brushes|Handheld Brushes|Scratch Brushes	Werkzeuge & Instrumente|Pinsel|Handpinsel|Drahtbürste	Tools	Brushes	PNB250000000000|PNB250200000000|PNB250201000000|PNB250201110000	in stock	9.56	https://pacificsupply.bloomreach.com/products/4160160	4160160	Weiler 44167 Brush, SS Small Hand	Weiler 44167 Pinsel, SS Klein Hand	Weiler 44167 Small Hand Wire Scratch Brush, Stainless Steel Fill, Wood Block, 3 x 7 Rows	Weiler 44167 Klein Hand Draht Scratch-Bürste, Edelstahl Fill, Holzblock, 3 x 7 Reihen	Weiler	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4160160.jpg	6.02	Weiler Corp	44167V	1238244167													0.000		Small Hand Wire	Klein Hand Draht
Tools & Instruments|Brushes|Handheld Brushes|Scratch Brushes	Werkzeuge & Instrumente|Pinsel|Handpinsel|Drahtbürste	Tools	Brushes	PNB250000000000|PNB250200000000|PNB250201000000|PNB250201110000	in stock	12.8	https://pacificsupply.bloomreach.com/products/4055376	4055376	Weiler 25154 Brush, Hand Wire	Weiler 25154 Pinsel, Hand-Draht	Weiler 25154 Vortec Pro Hand Wire Scratch Brush, .012 Stainless Steel Fill, Curved Handle, 3 x 19 Rows	Weiler 25154 Vortec Pro Hand Draht Scratch-Bürste, 0,012 Edelstahl Fill, gebogener Griff, 3 x 19 Reihen	Weiler	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4055376.jpg	8.06	Weiler Corp	25154	1238225154													0.000			
Tools & Instruments|Brushes|Power/Mounted Brushes|End Brushes	Werkzeuge & Instrumente|Pinsel|Power-Bürsten|Pinselbürste	Tools	Brushes	PNB250000000000|PNB250200000000|PNB250202000000|PNB250202010000	in stock	10.79	https://pacificsupply.bloomreach.com/products/4194488	4194488	Weiler 10023 Crimped End Brush	Weiler 10023 Crimped End Pinsel	Weiler 10023 1 Crimped Wire End Brush .014 Stainless Steel Fill	Weiler 10023 1 Crimped Drahtende Bürste .014 Edelstahl Fill	Weiler	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4194488.jpg	6.8	Weiler Corp	10023	1238210023													0.000			
Tools & Instruments|Brushes|Handheld Brushes|Hand Dusters/Brushes	Werkzeuge & Instrumente|Pinsel|Handpinsel|Handfeger	Tools	Brushes	PNB250000000000|PNB250200000000|PNB250201000000|PNB250201070000	in stock	7.08	https://pacificsupply.bloomreach.com/products/4896925	4896925	Harger MCBRSH1 Mold Cleaning Brush	Harger MCBRSH1 Mold Reinigungsbürste	Harger Lightning & Grounding MCBRSH1 Large Mold Cleaning Brush	Harger Blitz & Grounding MCBRSH1 L Mold Reinigungsbürste	Harger	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4896925.jpg	4.46	Harger	MCBRSH1	80847501723	Exothermic Welding	exotherme Schweißen					Graphite	Graphit	1	1		0.11	0.050		MC	MC
Tools & Instruments|Brushes|Handheld Brushes|Hand Dusters/Brushes	Werkzeuge & Instrumente|Pinsel|Handpinsel|Handfeger	Tools	Brushes	PNB250000000000|PNB250200000000|PNB250201000000|PNB250201070000	in stock	6.47	https://pacificsupply.bloomreach.com/products/4606381	4606381	Harger MCBRSH2 Mold Cleaning Brush	Harger MCBRSH2 Mold Reinigungsbürste	Harger Lightning & Grounding MCBRSH2 Small Mold Cleaning Brush	Harger Blitz & Grounding MCBRSH2 Klein Mold Reinigungsbürste	Harger	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4606381.jpg	4.08	Harger	MCBRSH2	80847501724	Exothermic Welding	exotherme Schweißen					Graphite	Graphit	2	2		0.05	0.023		MC	MC
Tools & Instruments|Brushes|Power/Mounted Brushes|End Brushes	Werkzeuge & Instrumente|Pinsel|Power-Bürsten|Pinselbürste	Tools	Brushes	PNB250000000000|PNB250200000000|PNB250202000000|PNB250202010000	in stock	6.43	https://pacificsupply.bloomreach.com/products/4194424	4194424	Weiler 10011 Brush 1 Crimped Wire	Weiler 10011 Brush 1 gewellter Draht	Brush end crimped solid steel 0.014x1	Bürstenende gecrimpt massiven Stahl 0.014x1	Weiler	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4194424.jpg	4.05	Weiler Corp	10011	1238210011													0.000			
Tools & Instruments|Brushes|Handheld Brushes|Parts Cleaning Brushes	Werkzeuge & Instrumente|Pinsel|Handpinsel|Teilereinigung	Tools	Brushes	PNB250000000000|PNB250200000000|PNB250201000000|PNB250201080000	in stock	12.62	https://pacificsupply.bloomreach.com/products/3661014	3661014	Eritech T313 CBL Clean Brush	ERITECH T313 CBL saubere Bürsten	Erico T313 Card Cloth Brush	Erico T313 Karte Tuch Pinsel	nVent ERICO	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3661014.jpg	7.95	nVent	T313	78285632338	For Cleaning Concentric Conductors and Busbars which are not Heavily Oxidized	Für Reinigung Konzentrische Leiter und Stromschienen, die nicht stark oxidiert										0.78	0.354		Card Cloth Brush	Karte Tuch Pinsel
Tools & Instruments|Tape & Pads|Marking Tapes	Werkzeuge & Instrumente|Bänder & Polster|Markierungsband	Tools	Tapes & Pads	PNB250000000000|PNB100600000000|PNB100615000000	in stock	8.5	https://pacificsupply.bloomreach.com/products/4928398	4928398	Brady 58201 Gang Marking Tape	Brady 58201 Gang Markierungsband	Brady 58201 Gang Marking Tape	Brady 58201 Gang Markierungsband	Brady	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4928398.jpg	5.36	Brady	58201	75447358201			Rot	Rot		36	Vinyl	Vinyl	36-yds-x-2-in	36-m-x-2-cm		0.815	0.370	2	Marking Tape	Markierungsband
Tools & Instruments|Tape & Pads|Marking Tapes	Werkzeuge & Instrumente|Bänder & Polster|Markierungsband	Tools	Tapes & Pads	PNB250000000000|PNB100600000000|PNB100615000000	in stock	11.36	https://pacificsupply.bloomreach.com/products/3957800	3957800	Brady 58253 Gang Marking Tape	Brady 58253 Gang Markierungsband	Gang MARKING TAPE	Gang Markierungsband	Brady	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3957800.jpg	7.15	Brady	58253	75447358253			White	Weiß		36	Vinyl	Vinyl	36-yds-x-3-in	36-m-x-2-cm		1.285	0.583	3	Marking Tape	Markierungsband
