manufacturer	catalog_number	catalog_number_partialvalue	master_upc	application_en	application	color_en	color	height	length	material_en	material	size_en	size	voltage_rating	weight	type_en	type	availability	url	pid	title_en	title	description_en	description	brand	thumb_image	price	sale_price	category_paths
LH Dottie	WDK8	['WDK', 'WDK8']	78100229786		 		 			Zinc	Zink	#8 x 1-1/4 IN	#8 x 1-1/4 Zoll		1.2	Wall Board Kit	Wandplatten-Set	TRUE	https://pacific.bloomreach.com/supplyglobal/products/15081___15081	15081	DOTTIE WDK8 #8 Anchor Kit Wall	DOTTIE WDK8 #8 Verankerungsset für die Wand	Dottie WDK-8 Wall Driller Kit - Phillips/Slotted Screws - Zinc Anchors (50/Box)	Dottie WDK-8 Wandbohrer-Set - Phillips-/Schlitzschrauben - Zinkdübel (50/Box)	LH DOTTIE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_15081.jpg	12.64	7.97	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160100000000', 'name': 'Fastener Assortments'}, {'id': 'NA_160101000000', 'name': 'Anchor Kit'}]]
LH Dottie	WDK8N	['WDK', 'WDK8', 'WDK8N']	78100229787		 		 			Nylon	Nylon	#8 x 1-1/4 IN	#8 x 1-1/4 Zoll		0.65	Wall Board Kit	Wandplatten-Set	TRUE	https://pacific.bloomreach.com/supplyglobal/products/15082___15082	15082	DOTTIE WDK8N #8 Anchor Kit Wall	DOTTIE WDK8N #8 Verankerungsset für die Wand	Dottie WDK-8N Wall Driller Kit - Phillips/Slotted Screws - Nylon Anchors (50/Box)	Dottie WDK-8N Wandbohrer-Set - Phillips-/Schlitzschrauben - Nylonanker (50/Box)	LH DOTTIE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_15082.jpg	7	4.41	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160100000000', 'name': 'Fastener Assortments'}, {'id': 'NA_160101000000', 'name': 'Anchor Kit'}]]
Lutron Electronics	SC-3PS-SW	['SC-', 'SC-3', 'SC-3P', 'SC-3PS', 'SC-3PS-', 'SC-3PS-S', 'SC-3PS-SW']	2755747550	Lighting Control	Lichtsteuerung	Snow	Schnee			Metal/Plastic	Metall/Kunststoff	4.69 in (119 mm) x 2.94 in (75 mm)	4,69 Zoll (119 mm) x 2,94 Zoll (75 mm)	120/277 VAC	0.23	Mechanical switch, 3-way	Mechanischer 3-Wege-Schalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/1663527___1663527	1663527	LUTRON SC-3PS-SW 3-WAY SWITCH	LUTRON SC-3PS-SW 3-WEGE-SCHALTER	Lutron SC-3PS-SW Satin 3-Way Switch	Lutron SC-3PS-SW Satin 3-Wege-Schalter	Lutron	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1663527.jpg	6.32	3.98	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703060000', 'name': 'Rocker Switches'}, {'id': 'NA_240703060300', 'name': '3-Way'}]]
Greenlee	12-04-72A	['12-', '12-0', '12-04', '12-04-', '12-04-7', '12-04-72', '12-04-72A']	78331038084	For Drilling In Soft Woods Or Through Thin Sections	Zum Bohren in Weichholz oder durch dünne Schichten		 				 		 		1.3	Type A	Typ A	TRUE	https://pacific.bloomreach.com/supplyglobal/products/17787___17787	17787	GRN 12-04-72A Bit D'Versibit	GRN 12-04-72A Bit D'Versibit	Greenlee 12-04-72A Bit D'Versibit .750x.250x72.00 A	Greenlee 12-04-72A Bit D'Versibit .750x.250x72.00 A	Greenlee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_17787.jpg	7.12	4.48	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251501000000', 'name': 'Attachments'}, {'id': 'NA_251501090000', 'name': 'Drill Bits'}, {'id': 'NA_251501090400', 'name': 'Auger Bits'}]]
ABB Installation Products	90650I	['906', '9065', '90650', '90650I']	72849412560		 	Ivory	Elfenbein		4 Inches/101.6mm, 7.5 Inches/190.5mm, 11.1 Inches/281.94	Nylon/Polyamide 6.6 Weather Resistant	Nylon/Polyamid 6.6 witterungsbeständig		 		33.4	Standard	Standard	TRUE	https://pacific.bloomreach.com/supplyglobal/products/1865721___1865721	1865721	T&B 90650-I Jar Cable Ties Assorted	T&B 90650-I Kabelbinder für Gläser, sortiert	Thomas & Betts 90650I 4 x 7.5 Inch Natural Nylon 6/6 Weather Resistant Cable Tie Assortment Jar	Thomas & Betts 90650I Sortimentsdose mit Kabelbindern, 4 x 7,5 Zoll, naturfarbenes Nylon 6/6, wetterfest	Catamount	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1865721	5.19	3.27	[[{'id': 'NA_270000000000', 'name': 'Connectors, Marking, & Termination'}, {'id': 'NA_270100000000', 'name': 'Wire Bundling'}, {'id': 'NA_270104000000', 'name': 'Cable Ties'}]]
Hubbell Wiring Device-Kellems	HBL1221I	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1221', 'HBL1221I']	78358543138	Extra Heavy Duty Industrial	Extrem robuste Industrieausführung	Ivory	Elfenbein			Thermoplastic	Thermoplast	Standard Sized	Standardgröße	120-277 AC	0.2	General Purpose Switches	Universalschalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/19502___19502	19502	HW HBL1221I SP 20A 277V IV AC SW	HW HBL1221I SP 20A 277V IV AC SW	Hubbell HBL1221-I 20A 120/277V SP Ivory Toggle Switch. Extra Heavy Duty Industrial Series	Hubbell HBL1221-I 20A 120/277V SP Kippschalter, elfenbeinfarben. Besonders robuste Industrieausführung.	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19502.jpg	14.18	8.93	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1221PL	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1221', 'HBL1221P', 'HBL1221PL']	78358543146	Extra Heavy Duty Industrial	Extrem robuste Industrieausführung	Red	Rot			Plastic	Plastik	Standard Sized	Standardgröße	120/277 VAC	0.2	General Purpose Switches	Universalschalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/19504___19504	19504	HW HBL1221PL SP 20A RED PL AC SW	HW HBL1221PL SP 20A RED PL AC SW	Hubbell HBL1221PL 20 Amp 120/277 VAC 1-Pole Red Toggle Switch	Hubbell HBL1221PL 20 Ampere 120/277 V AC 1-poliger roter Kippschalter	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19504.jpg	8.35	5.26	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1221	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1221']	78358543132	Extra Heavy Duty Industrial	Extrem robuste Industrieausführung	Brown	Braun			Thermoplastic	Thermoplast	Standard Sized	Standardgröße	120-277 AC	0.2	General Purpose Switches	Universalschalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/19506___19506	19506	HW HBL1221 SP 20A 277V BRN AC SW	HW HBL1221 SP 20A 277V BRN AC SW	Hubbell HBL1221 20A 120/277V SP Brown Toggle Switch. Extra Heavy Duty Industrial Series	Hubbell HBL1221 20A 120/277V SP Brauner Kippschalter. Besonders robuste Industrieausführung.	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19506.jpg	7.98	5.03	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1221GY	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1221', 'HBL1221G', 'HBL1221GY']	78358543136	Extra Heavy Duty Industrial	Extrem robuste Industrieausführung	Gray	Grau				 	Standard Sized	Standardgröße	120/277 VAC	0.2	General Purpose Switches	Universalschalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/19507___19507	19507	HW HBL1221GY SP 20A GRY AC SW	HW HBL1221GY SP 20A GRY AC SW	Hubbell HBL1221GY 20 Amp 120/277 VAC 1-Pole Gray Toggle Switch	Hubbell HBL1221GY 20 Ampere 120/277 V AC 1-poliger grauer Kippschalter	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19507.jpg	9.64	6.07	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1221ILC	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1221', 'HBL1221I', 'HBL1221IL', 'HBL1221ILC']	78358543142	Extra Heavy Duty Industrial	Extrem robuste Industrieausführung	Colorless	Farblos				 	Standard Sized	Standardgröße	120/277 VAC	0.2	General Purpose Switches	Universalschalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/19508___19508	19508	HW HBL1221ILC SP 20A LTD AC SW	HW HBL1221ILC SP 20A LTD AC SW	Hubbell HBL1221-ILC 20A 120/277V SP Clear Illuminated Toggle Switch. Extra Heavy Duty Industrial Series	Hubbell HBL1221-ILC 20A 120/277V SP Kippschalter mit Beleuchtung. Besonders robuste Ausführung für den industriellen Einsatz.	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19508.jpg	10.11	6.37	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1222I	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1222', 'HBL1222I']	78358543164	Extra Heavy Duty Industrial	Extrem robuste Industrieausführung	Ivory	Elfenbein				 	Standard Sized	Standardgröße	120-277 AC	0.2	General Purpose Switches	Universalschalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/19509___19509	19509	HW HBL1222I DP 20A 277V IV AC SW	HW HBL1222I DP 20A 277V IV AC SW	Hubbell HBL1222-I 20A 120/277V DP Ivory Toggle Switch. Extra Heavy Duty Industrial Series	Hubbell HBL1222-I 20A 120/277V DP Kippschalter, elfenbeinfarben. Besonders robuste Industrieausführung.	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19509.jpg	5.58	3.52	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1222L	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1222', 'HBL1222L']	78358543166	Double Pole	Doppelmast	Black	Schwarz				 	Standard Product Size	Standardproduktgröße	120/277 VAC	0.2	General Purpose Switches	Universalschalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/19510___19510	19510	HW HBL1222L DP 20A AC LOCK SW	HW HBL1222L DP 20A AC LOCK SW	Hubbell HBL1222-L 20A 120/277V DP Black Locking Switch. Extra Heavy Duty Industrial Series	Hubbell HBL1222-L 20A 120/277V DP Schwarzer Verriegelungsschalter. Besonders robuste Industrieausführung.	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19510.jpg	6.3	3.97	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1223I	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1223', 'HBL1223I']	78358543182	Extra Heavy Duty Industrial	Extrem robuste Industrieausführung	Ivory	Elfenbein			Thermoplastic	Thermoplast	Standard Sized	Standardgröße	120-277 AC	0.2	General Purpose Switches	Universalschalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/19513___19513	19513	HW HBL1223I 3WAY 20A IV AC SW	HW HBL1223I 3-Wege 20A IV Wechselstromschalter	Hubbell HBL1223-I 20A 120/277V 3Way Ivory Toggle Switch. Extra Heavy Duty Industrial Series	Hubbell HBL1223-I 20A 120/277V 3-Wege-Kippschalter, elfenbeinfarben. Besonders robuste Industrieausführung.	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19513.jpg	11.77	7.42	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1223L	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1223', 'HBL1223L']	78358543188	Three Way	Dreier	Black	Schwarz			Composite	Komposit	Standard Product Size	Standardproduktgröße	120-277 AC	0.2	General Purpose Switches	Universalschalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/19514___19514	19514	HW HBL1223L 3WAY 20A AC LOCK SW	HW HBL1223L 3-Wege 20A Wechselstrom-Verriegelungsschalter	Hubbell HBL1223-L 20A 120/277V 3Way Black Locking Switch. Extra Heavy Duty Industrial Series	Hubbell HBL1223-L 20A 120/277V 3-Wege-Verriegelungsschalter, schwarz. Besonders robuste Industrieausführung.	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19514.jpg	13.44	8.47	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1224	['HBL', 'HBL1', 'HBL12', 'HBL122', 'HBL1224']	78358543202	Extra Heavy Duty Industrial	Extrem robuste Industrieausführung	Brown	Braun				 	Standard Sized	Standardgröße	120/277 VAC	0.2	General Purpose Switches	Universalschalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/19516___19516	19516	HW HBL1224 4WAY 20A BRN AC SW	HW HBL1224 4-Wege 20A Brauner Wechselstromschalter	Hubbell HBL1224 20 Amp 120/277 VAC 4-Way Brown Toggle Switch	Hubbell HBL1224 20 Ampere 120/277 VAC 4-Wege-Kippschalter, braun	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19516.jpg	7.46	4.7	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Hubbell Wiring Device-Kellems	HBL1385I	['HBL', 'HBL1', 'HBL13', 'HBL138', 'HBL1385', 'HBL1385I']	78358543262	Extra Heavy Duty Industrial	Extrem robuste Industrieausführung	Ivory	Elfenbein				 	Standard Sized	Standardgröße	120/277 VAC	0.25	General Purpose Switches	Universalschalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/19524___19524	19524	HW HBL1385I SPDT 20A IV AC SW	HW HBL1385I SPDT 20A IV AC SW	Hubbell HBL1385-I 20A 120/277V 2Cir SP Ivory Toggle Switch - Maintained Contact	Hubbell HBL1385-I 20A 120/277V 2-poliger SP Elfenbein-Kippschalter - Dauerkontakt	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19524.jpg	9.16	5.77	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
